review_id,source,airline,review_date,review_title,review_text,rating,traveler_type,route,seat_type,recommended,disruption_type,raw_text,is_synthetic
synthetic_00001,Synthetic Fallback Dataset,Southwest,2025-08-30,Missed connection and poor rebooking support,"After a disruption on Southwest from DEN to SAN, the rebooking process was the most frustrating part. I waited about 35 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",1,Couple Leisure,DEN-SAN,Economy,False,rebooking,"Missed connection and poor rebooking support | After a disruption on Southwest from DEN to SAN, the rebooking process was the most frustrating part. I waited about 35 minutes in line, the kiosk could not confirm the new itinerary, and the app kept removing the seat it had just offered me.",True
synthetic_00002,Synthetic Fallback Dataset,American,2024-12-21,Every agent gave a different answer on the refund,"After my disrupted trip on American from JFK to LAX, the refund process became a second problem. It took 28 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",2,Visiting Friends and Relatives,JFK-LAX,Economy,False,refund,"Every agent gave a different answer on the refund | After my disrupted trip on American from JFK to LAX, the refund process became a second problem. It took 28 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00003,Synthetic Fallback Dataset,Lufthansa,2024-03-27,Confusing voucher and refund policy,"After my disrupted trip on Lufthansa from MSP to SEA, the refund process became a second problem. It took 14 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",1,Visiting Friends and Relatives,MSP-SEA,Economy,True,refund,"Confusing voucher and refund policy | After my disrupted trip on Lufthansa from MSP to SEA, the refund process became a second problem. It took 14 days to get the money back, the voucher rules were unclear, and customer service kept telling me to wait for another email.",True
synthetic_00004,Synthetic Fallback Dataset,Alaska,2025-08-17,Long delay and almost no communication,My economy flight on Alaska from BOS to DEN left 5 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling for work and had a time-sensitive schedule. I missed my connection and no one offered a useful recovery option.,1,Business,BOS-DEN,Economy,False,delay,Long delay and almost no communication | My economy flight on Alaska from BOS to DEN left 5 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling for work and had a time-sensitive schedule. I missed my connection and no one offered a useful recovery option.,True
synthetic_00005,Synthetic Fallback Dataset,British Airways,2026-02-06,Cancelled flight and chaotic recovery,"My British Airways flight from ATL to BOS was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. My partner and I were traveling for a weekend getaway. I ended up paying for my own hotel and finding a backup flight myself.",1,Couple Leisure,ATL-BOS,Economy,False,cancellation,"Cancelled flight and chaotic recovery | My British Airways flight from ATL to BOS was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. My partner and I were traveling for a weekend getaway. I ended up paying for my own hotel and finding a backup flight myself.",True
synthetic_00006,Synthetic Fallback Dataset,Alaska,2024-12-18,Hours late and no realistic departure time,My economy flight on Alaska from DFW to SFO left 4 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling alone for a short personal trip. I missed my connection and no one offered a useful recovery option.,1,Solo Leisure,DFW-SFO,Economy,False,delay,Hours late and no realistic departure time | My economy flight on Alaska from DFW to SFO left 4 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling alone for a short personal trip. I missed my connection and no one offered a useful recovery option.,True
synthetic_00007,Synthetic Fallback Dataset,Frontier,2024-05-21,"Delayed bag, average recovery","My suitcase missed the connection on a Frontier itinerary from ATL to BOS and arrived 1 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",4,Business,ATL-BOS,Economy,False,baggage,"Delayed bag, average recovery | My suitcase missed the connection on a Frontier itinerary from ATL to BOS and arrived 1 days later. The claim process was straightforward, but status updates were sparse until the delivery driver finally called.",True
synthetic_00008,Synthetic Fallback Dataset,Southwest,2024-11-30,Mixed communication during the disruption,"Communication during my Southwest trip from CLT to LGA was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",4,Visiting Friends and Relatives,CLT-LGA,Economy,True,communication,"Mixed communication during the disruption | Communication during my Southwest trip from CLT to LGA was inconsistent. There were updates, but they usually arrived after the situation had already changed. Once a supervisor stepped in, the explanations became clearer.",True
synthetic_00009,Synthetic Fallback Dataset,Lufthansa,2025-02-07,"App, gate, and phone support all disagreed","My Lufthansa flight from PHX to ATL was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling with family, which made the disruption harder to manage. I ended up paying for my own hotel and finding a backup flight myself.",1,Family Leisure,PHX-ATL,Economy,False,cancellation,"App, gate, and phone support all disagreed | My Lufthansa flight from PHX to ATL was cancelled after repeated rolling delays. The app showed one itinerary, the gate desk suggested another, and phone support disconnected me twice. I was traveling with family, which made the disruption harder to manage. I ended up paying for my own hotel and finding a backup flight myself.",True
synthetic_00010,Synthetic Fallback Dataset,Emirates,2024-02-17,Hours late and no realistic departure time,"My economy flight on Emirates from PHX to ATL left 3 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling with family, which made the disruption harder to manage. I missed my connection and no one offered a useful recovery option.",2,Family Leisure,PHX-ATL,Economy,False,delay,"Hours late and no realistic departure time | My economy flight on Emirates from PHX to ATL left 3 hours late. The app kept changing and gate agents only gave updates after passengers started lining up at the desk. I was traveling with family, which made the disruption harder to manage. I missed my connection and no one offered a useful recovery option.",True
