theme,quote_rank,review_id,airline,source,review_date,rating,is_synthetic,quote_excerpt
delay frustration,1,skytrax_airline_reviews_c6457586cfa2,El Al Israel Airlines,Skytrax User Reviews Dataset,2015-02-24,1.0,False,El Al Israel Airlines customer review | B767 Toronto-Tel Aviv-Toronto. Very old plane 12.5 hours flight w/o entertainment. Delay of 3.5 hours because of the technical problems. On the way back all the passengers got out w/o luggage. We received it next day. Never again. I'll t...
delay frustration,2,skytrax_airline_reviews_03b790671c6e,Dragonair,Skytrax User Reviews Dataset,2013-12-23,5.0,False,Dragonair customer review | Flight from HKG to TPE December 19 2013. Flight delayed by almost 1 hour. Boarding procedure is very slow. Aircraft used was an old A330. Seats though wide and comfy for an economy is really old and needs upholstery. Food however is terrible and the...
delay frustration,3,skytrax_airline_reviews_b9b156f5642e,Aer Lingus,Skytrax User Reviews Dataset,2013-10-15,10.0,False,Aer Lingus customer review | DUB to MAN one way. Very early flight but crew very friendly and helpful. Left on time but slight delay landing in Manchester due to fog. Pilot informative about weather throughout the flight. Flight very smooth with comfortable seating. Fly often...
cancellation stress,1,skytrax_airline_reviews_6429da1525c6,Yemenia,Skytrax User Reviews Dataset,2009-07-17,7.0,False,Yemenia customer review | ADD-AMM via Sanaa. Overnight in Sanaa where Yemenia provide hotel and breakfast. Pleasant flight attendants and acceptable food. A good flight and a lot cheaper than competitors. I had to change this flight and put it forward by one week which was no...
cancellation stress,2,skytrax_airline_reviews_383d766d1b30,Ana All Nippon Airways,Skytrax User Reviews Dataset,2013-11-10,2.0,False,ANA All Nippon Airways customer review | The seats! Took an overnight flight from Yangon to Narita and experienced the fixed seats - an unsuccessful attempt at fooling passengers into believing that they can sit in a relaxed position. Service and food were good but given the o...
cancellation stress,3,skytrax_airline_reviews_0ffaf76c6f83,Eastern Airways,Skytrax User Reviews Dataset,2013-05-27,1.0,False,Eastern Airways customer review | Norwich-Aberdeen and Aberdeen-Norwich route. Absolutely atrocious service late departures cancelled flights at the last moment and worse of all no customer care in fact you are treated with competent. What a breath of fresh air it is when you...
refund difficulty,1,skytrax_airline_reviews_7c584c1e7811,Bahamasair,Skytrax User Reviews Dataset,2006-10-26,,False,Bahamasair customer review | We were booked on a Bahamsair flight form George Town to Nassau the flight failed to turn up and we had to use another carrier. Had it not been for the kindness of the staff in Nassau we would have missed our flight to the UK. We are still trying t...
refund difficulty,2,skytrax_airline_reviews_0169effb2e79,Cebu Pacific,Skytrax User Reviews Dataset,2011-01-02,,False,Cebu Pacific customer review | We had to cancel our flight with CEBU one week before we traveled due to a work emergency and they charged us approx 50% fee to do so then would only refund the remaining 50% in travel credit which must be used in 90 days. This company is predato...
refund difficulty,3,skytrax_airline_reviews_cb39683b83f1,Tigerair,Skytrax User Reviews Dataset,2011-10-10,,False,Tigerair customer review | Tigerair took our money confirmed our seats the day before. We flew in from NZ the night before collected our daughter and fronted up at 5am as requested for the 7am flight to Perth only to be told the flight was cancelled. No apologies and no help o...
rebooking friction,1,skytrax_airline_reviews_c642033ddf2d,Tap Portugal,Skytrax User Reviews Dataset,2014-09-28,1.0,False,TAP Portugal customer review | Denied boarding on TP322 21st Sept Lisbon to Manchester - overbooked. Ok but then spent over 4 hours trying to recover bags and rebook with the worst bunch of staff and processes I could imagine. Numerous other minor niggles followed including tr...
